Number,Genebank,Genebank ID,Species code,Species,GPS,GPS,GPS,GPS,Place,Province,COUNTRY,Description,Date of collecton,Elevation,Ploidy
660,CGN,17875,INM,incamayoense,-24.75,2445S,"-657,333",06544W,P. Salta,D. Rosario de Lerma,ARG,"Quebrada del Toto, Incamayo, route 51",3/27/1973,2280,24
661,CGN,17968,INM,incamayoense,"-247,166",2443S,-65.75,06545W,P. Salta,D. Rosario de Lerma,ARG,"Quebrada del Toro, El Golgota, route 51 km 59",3/27/1973,2320,24
662,CGN,961363,INM,incamayoense,"-246,666",2440S,"-657,666",06546W,P. Salta,D. Rosario de Lerma,ARG,"Quebrada del Toro, Terron Azul, route 59, km 65.5",3/27/1973,2500,24
663,CGN,22335,INM,incamayoense,"-245,166",2431S,-65.85,06551W,P. Salta,D. Rosario de Lerma,ARG,"Quebrada del Toro, past Puerta de Tastil, route 51. km 87",3/27/1973,2700,24
664,CGN,17720,IFD,infundibuliforme,NULL,NULL,NULL,NULL,D. La Paz,NULL,BOL,NULL,NULL,NULL,24
665,CGN,23063,IFD,infundibuliforme,-19.8,1948S,"-657,333",06544W,D. Potosi,P. Linares,BOL,31 km from Potosi to Tarija,3/21/1980,3800,24
666,CGN,22334,IFD,infundibuliforme,-23.65,2339S,-66.3,06618W,P. Salta,D. La Poma,ARG,"7 km W of Quebrada de Cobres, route 40. Ruta Nac. 40 km 1455",3/30/1973,3800,24
667,CGN,23048,IFD,infundibuliforme,"-237,166",2343S,"-656,666",06540W,P. Jujuy,D. Tumbaya,ARG,"Abra de Pibes, route 16, then 34 km W on route 9",5/5/1974,3640,24
668,CGN,960696,IFD,infundibuliforme,"-232,166",2313S,-65.7,06542W,P. Jujuy,D. Humahuaca,ARG,"Mina Aguilar, near the mill",3/28/1952,4100,24
669,CGN,20562,AEM,acaule aemulans,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,48
670,CGN,20561,IOP,iopetalum,NULL,NULL,NULL,NULL,NULL,NULL,MEX,NULL,NULL,NULL,72
671,CGN,20572,IOP,iopetalum,20.25,2015N,"-982,166",09813W,E. Puebla,NULL,MEX,"2-3 km from Honey, on the path N to Tehuatlan, escarpment edge",10/8/1958,1950,72
672,CGN,962542,JAM,jamesii,NULL,NULL,NULL,NULL,NULL,NULL,USA,NULL,NULL,NULL,24
673,CGN,960923,JAM,jamesii,NULL,NULL,NULL,NULL,E. New Mexico,NULL,USA,Arizona and New Mexico,NULL,NULL,24
674,CGN,18346,JAM,jamesii,"324,833",3229N,"-108,516",10831W,E. New Mexico,C. Grant,USA,"S end of the Bigg Burro Mountains, Silver City, 17 miles from Lordsburg",8/3/1958,1800,24
675,CGN,22338,KTZ,kurtzianum,"-303,666",3022S,"-695,833",06935W,P. San Juan,D. Iglesia,ARG,"Penasquito, Riquintin, 5 km N on route 150. km 92.5",2/14/1972,2700,24
676,CGN,961563,KTZ,kurtzianum,-27.9,2754S,"-673,666",06722W,P. Catamarca,D. Tinogasta-Belen,ARG,"Cuesta de Zapata, 7 km from the foot of the Hill. 32kM NE cruce ruta40-60",4/28/1973,1840,24
677,CGN,23042,KTZ,kurtzianum,"-287,666",2846S,-66.4,06624W,P. La Rioja,D. Capital,ARG,"Sierra de Ambato, Quebrada de la Sebila. km 1143 17km",5/8/1974,960,24
678,CGN,961013,KTZ,kurtzianum,"-275,833",2735S,"-671,166",06707W,P. Catamarca,D. Belen,ARG,Finca Molinos.  Bajo cerca de ramas,4/25/1975,NULL,24
679,CGN,22721,LXS,laxissimum,NULL,NULL,NULL,NULL,D. Cusco,P. Urubamba,PER,"Stat. Machu Picchu, at the bottom of the valley",4/18/1959,2500,24
680,CGN,18173,LPH,leptophyes,"-182,333",1814S,"-664,833",06629W,D. Potosi,P. Ibanez,BOL,1 km from Caripuyo on the road to Llallagua,2/19/1980,3250,24
681,CGN,20623,ACL,acaule,"-188,166",1849S,-65.9,06554W,D. Potosi,P. Chayanta,BOL,40 km from Colquechaca to Ocuri,2/22/1980,3960,24
682,CGN,18167,LPH,leptophyes,"-186,333",1838S,-66.95,06657W,D. Oruro,P. Poopo,BOL,"Farm Saint Helena, 5 km from Pazna to Lago Poopo",4/4/1980,3700,24
683,CGN,20611,LPH,leptophyes,"-177,833",1747S,"-675,333",06732W,D. Oruro,P. Cercado,BOL,2 km from La Joya to Lajma,3/20/1980,3680,24
684,CGN,18126,LPH,leptophyes,-17.05,1703S,-67.3,06718W,D. La Paz,P. Inquisivi,BOL,"79 km from Panduro to Quime, 7 km after Huanacota Village",2/24/1980,3900,24
685,CGN,17723,LGL,lignicaule,"-134,333",1326S,-71.85,07151W,D. Cusco,P. Calca,PER,Ruins of Pisac,4/11/1971,3300,24
686,CGN,22720,LMB,limbaniense,NULL,NULL,NULL,NULL,NULL,NULL,PER,NULL,NULL,NULL,24
687,CGN,962815,LGC,longiconicum,"101,833",1011N,"-842,333",08414W,P. Alajuela,NULL,CRI,"Volcan Poas, 8.5 km from Poasito, 400 m before large meadow",12/9/1996,2560,48
688,CGN,22719,MAG,maglia,NULL,NULL,NULL,NULL,P. Mendoza,NULL,ARG,NULL,NULL,NULL,24
689,CGN,17724,MRN,marinasense,"-134,666",1328S,"-719,166",07155W,D. Cusco,P. Cusco,PER,"Along road to Cuzco, 8 km past Pisac, on a steep bank in a village",4/11/1971,3350,24
690,CGN,17594,MRN,marinasense,NULL,NULL,NULL,NULL,D. Cusco,P. Cusco,PER,"Granja de Kcaira, Quebrada de Las Anderias",4/16/1959,3300,24
691,CGN,21349,MED,medians,NULL,NULL,NULL,NULL,NULL,NULL,PER,3km behind Huincu (?),NULL,NULL,24
692,CGN,18043,MED,medians,NULL,NULL,NULL,NULL,D. Lima,P. Canta,PER,near Canta,NULL,NULL,24
693,CGN,18308,MED,medians,"-115,666",1134S,"-766,166",07637W,D. Lima,P. Canta,PER,Carhua,NULL,2850,24
694,CGN,21343,MED,medians,"-114,166",1125S,"-766,333",07638W,D. Lima,P. Canta,PER,near Canta,5/3/1959,3000,24
695,CGN,18307,MED,medians,"-113,666",1122S,"-770,166",07701W,D. Lima,P. Canta,PER,San Miguel,NULL,2900,24
696,CGN,23064,MGA,megistacrolobum,"-197,333",1944S,"-651,333",06508W,D. Potosi,P. Linares,BOL,53 km from turning point near Betanzos to Turchipa,4/2/1980,3900,24
697,CGN,17828,MGA,megistacrolobum,NULL,NULL,NULL,NULL,P. Salta,D. Santa Victoria,ARG,Between Lizoite and Abra de Lizoite,2/17/1956,3450,24
698,CGN,961590,MGA,megistacrolobum,"-218,833",2153S,-66.1,06606W,P. Jujuy,D. Santa Catalina,ARG,10 km W of Santa Catalina,4/6/1971,4000,24
699,CGN,22347,MGA,megistacrolobum,-17.65,1739S,"-669,833",06659W,D. Oruro,P. Cercado,BOL,"28 km from Caracolla to Cochabamba, near Leque Palca",3/14/1980,3940,24
700,CGN,20601,MGA,megistacrolobum,"-170,833",1705S,-67.4,06724W,D. La Paz,P. Loayza,BOL,8 km from Caxata Junction to Araca,2/29/1980,4140,24
701,CGN,17728,TOR,megistacrolobum toralapanum,-19.15,1909S,"-652,833",06517W,D. Chuquisaca,P. Oropeza,BOL,29 km from Sucre towards Ravelo,3/5/1971,3300,24
702,CGN,23006,TOR,megistacrolobum toralapanum,-22.25,2215S,-65.05,06503W,P. Salta,D. Santa Victoria,ARG,"E of Cajas, 56 km",3/5/1971,3150,24
703,CGN,18145,TOR,megistacrolobum toralapanum,"-174,333",1726S,"-655,333",06532W,D. Cochabamba,P. Arani,BOL,"76 km from Cochabamba to Santa Cruz, Coari Village",3/17/1980,3800,24
704,CGN,18146,TOR,megistacrolobum toralapanum,"-176,666",1740S,-66.5,06630W,D. Cochabamba,P. Arque,BOL,"90 km from Cochabamba to Oruro, Sayari road Junction",3/19/1980,3760,24
705,CGN,18147,TOR,megistacrolobum toralapanum,"-176,666",1740S,"-665,333",06632W,D. Cochabamba,P. Arque,BOL,"94 km from Cochabamba to Oruro, 4 km after Sayari",3/19/1980,3800,24
706,CGN,18125,TOR,megistacrolobum toralapanum,-17.05,1703S,"-673,166",06719W,D. La Paz,P. Inquisivi,BOL,"76 km from Panduro to Quime, 4 km after Huanacota Village",2/24/1980,4040,24
707,CGN,22382,MCD,microdontum,"-185,166",1831S,"-641,166",06407W,D. Santa Cruz,P. Valle Grande,BOL,"8 km from Valle Grande in the direction of Masicuri, Guadalupe",2/29/1980,2200,24
708,CGN,18259,MCD,microdontum,"-178,833",1753S,-64.7,06442W,D. Santa Cruz,P. M.M. Caballero,BOL,"Siberia, on the road to La Fortaleza, 227 km from Cochabamba",3/2/1980,2550,24
709,CGN,23805,MCD,microdontum,-23.6,2336S,"-652,333",06514W,P. Jujuy,D. Tilcara,ARG,El Durazno about 13 hours by mule from Tilcara,4/10/1983,2550,24
710,CGN,18199,GIG,microdontum gigantophyllum,-21.4,2124S,"-644,666",06428W,D. Tarija,P. Cercado,BOL,53 km from Tarija to Entre rios,3/27/1980,2400,24
711,CGN,20639,GIG,microdontum gigantophyllum,-21.4,2124S,"-644,666",06428W,D. Tarija,P. Cercado,BOL,54 km from Tarija to Entre rios,3/27/1980,2350,24
712,CGN,18200,GIG,microdontum gigantophyllum,"-214,166",2125S,"-643,666",06422W,D. Tarija,P. Cercado,BOL,69 km from Tarija to Entre rios,3/27/1980,2070,24
713,CGN,17595,GIG,microdontum gigantophyllum,-25.7,2542S,-65.5,06530W,P. Salta,D. Guachipas,ARG,20.3 km from Pampa Grande (km 1480),3/4/1966,1920,24
714,CGN,23050,GIG,microdontum gigantophyllum,-25.15,2509S,"-656,833",06541W,P. Salta,D. Chicoana,ARG,"Quebrada de Escoipe, agua negra, 4 km al oeste de mal paso por ruta 59",4/8/1974,1720,24
715,CGN,21342,GIG,microdontum gigantophyllum,NULL,NULL,NULL,NULL,P. Salta,D. Capital,ARG,Capital Quebrada de San Lorenzo,2/20/1956,1500,24
716,CGN,20587,MCQ,mochiquense,"-84,166",0825S,-78.75,07845W,D. La Libertad,P. Viru,PER,Cerro La Pileta,NULL,NULL,24
717,CGN,18263,MCQ,mochiquense,NULL,NULL,NULL,NULL,NULL,NULL,PER,NULL,NULL,NULL,24
718,CGN,17731,MCQ,mochiquense,"-79,833",0759S,-79.1,07906W,D. La Libertad,P. Trujillo,PER,"Cerro Campana, near Trujillo",9/10/1952,450,24
719,CGN,21360,MCQ,mochiquense,NULL,NULL,NULL,NULL,NULL,NULL,PER,NULL,NULL,NULL,24
720,CGN,22355,MSP,moscopanum,2.4,0224N,-76.45,07627W,D. Cauca,P. Purace,COL,NULL,NULL,NULL,72
721,CGN,18343,MSP,moscopanum,NULL,NULL,NULL,NULL,NULL,NULL,ECU,NULL,NULL,NULL,72
722,CGN,21344,MLT,multidissectum,NULL,NULL,NULL,NULL,NULL,NULL,PER,NULL,NULL,NULL,24
723,CGN,18330,MLT,multidissectum,NULL,NULL,NULL,NULL,NULL,NULL,PER,NULL,NULL,NULL,24
724,CGN,960739,MLT,multidissectum,NULL,NULL,NULL,NULL,D. Cusco,P. Cusco,PER,"4km from Cusco to Tambomachy, on E-side of Cusco valley",4/16/1964,3650,24
725,CGN,17686,MLT,multidissectum,"-143,333",1420S,-71.55,07133W,D. Cusco,P. Canas,PER,"Ruins of Viracocha at Raqchi, near San Pedro",4/8/1971,3550,24
726,CGN,17685,SPEC,species,-13.65,1339S,"-733,833",07323W,D. Apurimac,P. Andahuaylas,PER,108 km from Abancay on road to Andahuaylas,4/18/1971,3900,24
727,CGN,17733,MLT,multidissectum,-11.45,1127S,"-759,666",07558W,D. Junin,P. Tarma,PER,"15 km from La Oroya to Junin, Casarajra",4/9/1953,3850,24
728,CGN,960736,MLT,multidissectum,"-132,666",1316S,-73.85,07351W,D. Ayacucho,P. Cangallo,PER,38 km from Ayacucho towards Andahuaylas,4/17/1953,3900,24
729,CGN,17825,MLT,multidissectum,"-141,666",1410S,-71.1,07106W,D. Cusco,P. Canchis,PER,30 km towards Puno from Sicuani,5/3/1953,3950,24
730,CGN,961613,MLT,multidissectum,NULL,NULL,NULL,NULL,NULL,NULL,,From a collection of Gandarillas in Belen (BOL),NULL,NULL,24
731,CGN,17840,MLT,multidissectum,NULL,NULL,NULL,NULL,D. Junin,P. Huancayo,PER,Acostambo before Huancayo. Near 988,NULL,3550,24
732,CGN,960967,MLT,multidissectum,NULL,NULL,NULL,NULL,D. Junin,P. Huancayo,PER,Huaychulo at Huancayo,4/29/1959,3300,24
733,CGN,962398,MTP,multiinterruptum,NULL,NULL,NULL,NULL,D. Ancash,P. Bolognesi,PER,"Km 295, Cajacay, valley Rio Fortaleza, (valley to Huares)",4/26/1959,2500,24
734,CGN,18217,NCD,neocardenasii,"-181,166",1807S,-64.2,06412W,D. Santa Cruz,P. Valle Grande,BOL,1.5 km from Matoral on the road to Valle Grande,2/29/1980,1400,24
735,CGN,18280,NRS,neorossii,NULL,NULL,NULL,NULL,NULL,NULL,ARG,NULL,NULL,NULL,24
736,CGN,17599,NRS,neorossii,-22.25,2215S,"-650,333",06502W,P. Salta,D. Santa Victoria,ARG,"Rodeopampa, 14.5 km W from Santa Victoria",3/6/1971,2530,24
737,CGN,18051,NRS,neorossii,-22.25,2215S,"-650,833",06505W,P. Salta,D. Santa Victoria,ARG,Salta.  13 km W from Santa Victoria on the road to La Quiaca,3/6/1971,2830,24
738,CGN,23068,OKA,okadae,-17.1,1706S,"-669,166",06655W,D. Cochabamba,P. Ayopaya,BOL,3 km from Independencia on the footpath to Sivingani,3/11/1980,2450,24
739,CGN,18269,OKA,okadae,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,24
740,CGN,17999,VNT,venturii,NULL,NULL,NULL,NULL,P. Jujuy,D. Tilcara,ARG,"Piscuno, Casa Colorada-Molulo road",3/22/1972,NULL,24
741,CGN,18279,VNT,venturii,"-241,166",2407S,"-656,333",06538W,P. Jujuy,D. Capital,ARG,Falda de Sombra,4/5/1983,3150,24
742,CGN,962076,OKA,okadae,"-170,166",1701S,-67.25,06715W,D. La Paz,P. Inquisivi,BOL,0.5 km from Quime to Inquisivi,3/26/1980,2950,24
743,CGN,962078,OKA,okadae,"-169,833",1659S,-67.2,06712W,D. La Paz,P. Inquisivi,BOL,12.5 km from Quime to Inquisivi (Calasaya Village),3/26/1980,2930,24
744,CGN,18157,OKA,okadae,"-170,166",1701S,-67.25,06715W,D. La Paz,P. Inquisivi,BOL,14 km from Inquisivi to Quime,3/26/1980,2800,24
745,CGN,22709,OKA,okadae,-17,1700S,"-672,333",06714W,D. La Paz,P. Inquisivi,BOL,6 km from Quime to Licoma,2/25/1980,2830,24
746,CGN,18129,OKA,okadae,-17,1700S,"-672,333",06714W,D. La Paz,P. Inquisivi,BOL,6 km from Quime to Licoma,2/25/1980,2840,24
747,CGN,23049,OPL,oplocense,"-213,333",2120S,-65.75,06545W,D. Potosi,P. Sud Chichas,BOL,"Road to Tupiza, 2 km from Oploca. As AST 58 BUT 100 m. Down River",4/2/1974,3100,72
748,CGN,23062,DMS,demissum,NULL,NULL,NULL,NULL,D. Potosi,P. Saavedra,unk,NULL,NULL,NULL,"48, 72"
749,CGN,962217,OPL,oplocense,"-208,333",2050S,"-649,166",06455W,D. Chuquisaca,P. Sud Cinti,BOL,"East of Camargo, Outskirts Culpina",3/22/1980,2870,48
750,CGN,21352,OPL,oplocense,NULL,NULL,NULL,NULL,D. Potosi,P. Sud Chichas,BOL,61 km from Cotagaita to Tupiza,3/24/1980,3300,72
751,CGN,18088,OPL,oplocense,"-218,833",2153S,"-661,833",06611W,P. Jujuy,D. Santa Catalina,ARG,A 10 m de 5586,4/2/1974,3800,72
752,CGN,18085,OPL,oplocense,"-218,833",2153S,"-661,833",06611W,P. Jujuy,D. Santa Catalina,ARG,"30km Oeste de Sta catalina, camino a El Angosto, finca de Anselmo Salinas",4/2/1974,3800,72
753,CGN,21319,OPL,oplocense,"-218,833",2153S,"-661,833",06611W,P. Jujuy,D. Santa Catalina,ARG,"El Angosto, 34 km W of Santa Catalina.Finca de Felix Velazquez",4/7/1971,3700,48
754,CGN,17871,OPL,oplocense,-23.2,2312S,-65.45,06527W,P. Jujuy,D. Humahuaca,ARG,"Ravine from Soledad, 12 km W to Humahuaca",4/3/1972,3300,72
755,CGN,18086,OPL,oplocense,"-221,166",2207S,"-654,666",06528W,P. Jujuy,D. Yavi,ARG,"Yavi, E side of the River Yavi",3/28/1974,3500,72
756,CGN,962570,ORP,orophilum,NULL,NULL,NULL,NULL,D. Junin,P. Huancayo,PER,Eluyo,NULL,3400,24
757,CGN,18292,OXC,oxycarpum,"195,666",1934N,"-972,333",09714W,E. Veracruz,NULL,MEX,"Near Perote, km 306.5 from Mexico, road from Las Vigas to Jalapa",10/7/1958,2100,48
758,CGN,20558,OXC,oxycarpum,"195,666",1934N,"-972,333",09714W,E. Veracruz,NULL,MEX,Km 305.5 from Mexico on the road from Las Vigas to Jalapa,10/7/1958,2150,48
759,CGN,18286,PLS,palustre,"-392,666",3916S,"-719,666",07158W,P. Cautin,D. Pucon,CHL,"Along streams at Liapenco, above Pucon",1/17/1958,NULL,24
760,CGN,17983,PLS,palustre,-40.2,4012S,-71.45,07127W,P. Neuquen,D. Lacar,ARG,"Quiaquina, al lado del Lago Lacar cerca de la fuente de agua mineral",2/2/1973,NULL,24
761,CGN,18241,PLS,palustre,"-386,833",3841S,-71.9,07154W,P. Cautin,D. Vilcun,CHL,"fundo venecia, 11 km cherquenco a llaima",1/6/1978,850,24
762,CGN,962604,PAM,pampasense,NULL,NULL,NULL,NULL,D. Ayacucho,P. Cangallo,PER,"Pajonal, between Ocras and Andahuaylas",4/18/1953,2000,24
763,CGN,20575,PAM,pampasense,NULL,NULL,NULL,NULL,D. Ayacucho,P. Ayacucho,PER,Road Chincheros - Ocros. Just after crossing Rio Pampas,4/26/1959,2300,24
764,CGN,960051,PAM,pampasense,"-134,166",1325S,-73.9,07354W,D. Ayacucho,P. Cangallo,PER,Chicheros to Ocros. 5km before Chumbis,4/26/1959,2600,24
765,CGN,18309,PTA,papita,"233,333",2320N,"-105,116",10507W,E. Durango,NULL,MEX,"Road 40. 18 miles W of Durango, Rio Chico, north slope of canyon",7/24/1958,NULL,48
766,CGN,18319,PTA,papita,"241,833",2411N,"-105,033",10502W,E. Durango,NULL,MEX,"NW of Durango, 1 mile from Otinapa along the road to Durango",9/11/1958,2200,48
767,CGN,17831,PTA,papita,23.5,2330N,"-103,583",10335W,E. Zacatecas,NULL,MEX,"4.2 miles from the Durango border, along road from Durango to Zacatecas",9/12/1958,2250,48
768,CGN,18050,PCJ,paucijugum,NULL,NULL,NULL,NULL,NULL,NULL,ECU,NULL,NULL,NULL,48
769,CGN,962622,PCS,paucissectum,"-53,333",0520S,"-794,333",07926W,D. Piura,P. Huancabamba,PER,"Sondorillo, Cienago Largo",6/20/1974,3050,24
770,CGN,17739,PCS,paucissectum,NULL,NULL,NULL,NULL,NULL,NULL,PER,NULL,NULL,NULL,24
771,CGN,18342,PHU,phureja,NULL,NULL,NULL,NULL,NULL,NULL,COL,NULL,NULL,NULL,24
772,CGN,960564,PHU,phureja,NULL,NULL,NULL,NULL,D. Cauca,NULL,COL,NULL,NULL,NULL,24
773,CGN,17668,PHU,phureja,NULL,NULL,NULL,NULL,D. Narino,Tuquerres,COL,Tuquerres market,NULL,NULL,24
774,CGN,18316,PHU,phureja,NULL,NULL,NULL,NULL,NULL,NULL,ECU,NULL,NULL,NULL,24
775,CGN,17742,PNT,pinnatisectum,"211,166",2107N,"-101,666",10140W,E. Guanajuato,NULL,MEX,"Leon, 2 km SE of the cement factory",8/30/1949,1800,24
776,CGN,17744,PNT,pinnatisectum,20.6,2036N,"-100,383",10023W,E. Queretaro,NULL,MEX,"Queretaro, 3 km SSE of town, by the small resevoir",9/6/1958,1900,24
777,CGN,17740,PNT,pinnatisectum,20.6,2036N,"-100,383",10023W,E. Queretaro,NULL,MEX,"Queretaro, 3 km SSE of town, 0.5 km from the small resevoir by a cliff",9/6/1958,1900,24
778,CGN,23011,PNT,pinnatisectum,20.75,2045N,"-101,466",10128W,E. Guanajuato,NULL,MEX,"2 miles from Silao on the road to Guanajuato, El Castillo",9/8/1958,1800,24
779,CGN,23012,PNT,pinnatisectum,21.5,2130N,"-101,983",10159W,E. Jalisco,NULL,MEX,15 miles from Leon on the road to Aguas Calientes,9/8/1958,1950,24
780,CGN,17741,PNT,pinnatisectum,21.5,2130N,"-101,983",10159W,E. Jalisco,NULL,MEX,15 miles from Leon on the road to Aguas Calientes,9/8/1958,1950,24
781,CGN,18331,PNT,pinnatisectum,NULL,NULL,NULL,NULL,E. Mexico,C. Toluca,MEX,"Experimentalstation Elena, Toluca-valley",NULL,NULL,24
782,CGN,17748,PLD,polyadenium,"197,333",1944N,"-101,616",10137W,E. Michoacan,NULL,MEX,Near Matugeo,12/23/1947,NULL,24
783,CGN,17747,PLD,polyadenium,NULL,NULL,NULL,NULL,NULL,NULL,MEX,NULL,NULL,NULL,24
784,CGN,23013,PLD,polyadenium,19.7,1942N,"-101,116",10107W,E. Michoacan,NULL,MEX,"Near Morelia, Cerro Punguato, saddle on the summit between two peaks",9/26/1958,2300,24
785,CGN,23014,PLD,polyadenium,NULL,NULL,NULL,NULL,NULL,NULL,MEX,NULL,NULL,NULL,24
786,CGN,962607,PLT,polytrichon,NULL,NULL,NULL,NULL,NULL,NULL,MEX,NULL,NULL,NULL,48
787,CGN,22362,PLT,polytrichon,"203,333",2020N,-100,10000W,E. Queretaro,NULL,MEX,San Juan del Rio,NULL,NULL,48
788,CGN,22361,PLT,polytrichon,"203,333",2020N,-100,10000W,E. Queretaro,NULL,MEX,"San Juan del Rio, ESE of town, near the Mexico highway",8/26/1949,2000,48
789,CGN,18318,PLT,polytrichon,NULL,NULL,NULL,NULL,NULL,NULL,MEX,NULL,NULL,NULL,48
790,CGN,960772,RAP,raphanifolium,NULL,NULL,NULL,NULL,NULL,NULL,PER,NULL,NULL,NULL,24
791,CGN,20589,RAP,raphanifolium,"-134,666",1328S,"-719,833",07159W,D. Cusco,P. Cusco,PER,"Fortress of Sacsayhuaman, Chincana",4/16/1964,3550,24
792,CGN,18300,RAP,raphanifolium,"-133,833",1323S,"-718,666",07152W,D. Cusco,P. Calca,PER,Inca Ruins of Pisac,2/28/1987,NULL,24
793,CGN,18089,RAP,raphanifolium,-13.5,1330S,-72,07200W,D. Cusco,P. Cusco,PER,"Cusco-Tambo Machay rd, near the Grupo Arqueologico del Lago",3/9/1974,3700,24
794,CGN,961878,RAP,raphanifolium,-13.6,1336S,"-719,666",07158W,D. Cusco,P. Quispicanchis,PER,"Piquillacta, near ruined fortress",3/11/1974,3700,24
795,CGN,961879,RAP,raphanifolium,"-141,833",1411S,-71.35,07121W,D. Cusco,P. Canchis,PER,"Raqchi, temple of Viracocha",3/11/1974,3550,24
796,CGN,17754,SPEC,species,NULL,NULL,NULL,NULL,NULL,NULL,PER,NULL,NULL,NULL,24
797,CGN,18320,RAP,raphanifolium,NULL,NULL,NULL,NULL,NULL,NULL,PER,NULL,NULL,NULL,24
798,CGN,17752,RAP,raphanifolium,"-135,166",1331S,"-719,833",07159W,D. Cusco,P. Cusco,PER,Sacsayhuaman ruins,4/24/1953,3450,24
799,CGN,18033,RAP,raphanifolium,"-142,666",1416S,"-712,166",07113W,D. Cusco,P. Canchis,PER,"Sicuani, near town part called San Felipe. same place as 760",4/14/1959,3600,24
800,CGN,17833,RAP,raphanifolium,NULL,NULL,NULL,NULL,D. Cusco,P. Quispicanchis,PER,Inca ruine Rumiccalca - Rachi,4/14/1959,3200,24
801,CGN,17835,RAP,raphanifolium,"-134,166",1325S,"-740,333",07402W,D. Ayacucho,P. Huamanga,PER,pass Pumacahuanca,4/26/1959,3920,24
802,CGN,18117,RZL,ruiz-lealii,NULL,NULL,NULL,NULL,NULL,NULL,ARG,NULL,NULL,NULL,24
803,CGN,20576,SCT,sanctae-rosae,"-258,333",2550S,"-655,833",06535W,P. Salta,D. Guachipas,ARG,"Estancia Pampa Grande, W mountain range between Cerro Cristal and Pirgua",3/20/1966,2650,24
804,CGN,22344,SCT,sanctae-rosae,"-267,666",2646S,-65.75,06545W,P. Tucuman,D. Tafi del Valle,ARG,"Ruta 307, km 83, entre Infiernillos y Tafi del Valle,",4/11/1974,2940,24
805,CGN,17910,SCT,sanctae-rosae,"-275,666",2734S,-67.2,06712W,P. Catamarca,D. Belen,ARG,"Quebrada del Rio Los Pocitos, W towards Pozo de Piedras",4/27/1975,2500,24
806,CGN,20564,SCT,sanctae-rosae,"-267,833",2647S,-65.75,06545W,P. Tucuman,D. Tafi del Valle,ARG,"Quebrada Honda, Infernillo",1/23/1952,3250,24
807,CGN,17837,SCT,sanctae-rosae,-26.55,2633S,-65.8,06548W,P. Tucuman,D. Tafi del Valle,ARG,Quebrada Honda km 84,2/13/1959,3000,24
808,CGN,17600,SND,sandemanii,-16.4,1624S,-71.4,07124W,D. Arequipa,P. Arequipa,PER,"Chiguata, near Arequipa, valley of Rio Grande",4/10/1959,2700,24
809,CGN,18293,SAN,santolallae,"-131,333",1308S,"-714,166",07125W,D. Cusco,P. Paucartambo,PER,Pillahuata,4/18/1945,2700,24
810,CGN,18361,SNK,schenckii,"162,833",1617N,"-976,833",09741W,E. Oaxaca,NULL,MEX,Between La Cumbre and Yavila,NULL,2750,72
811,CGN,20655,STL,setulosistylum,NULL,NULL,NULL,NULL,NULL,NULL,ARG,NULL,NULL,NULL,24
812,CGN,962632,SIT,sitiens,NULL,NULL,NULL,NULL,NULL,NULL,CHL,NULL,NULL,NULL,24
813,CGN,962729,SST,soestii,-16.95,1657S,"-671,833",06711W,D. La Paz,P. Inquisivi,BOL,6 km N of town square of Quime,3/15/1993,2819,24
814,CGN,17601,SGR,sogarandinum,-8.15,0809S,"-781,833",07811W,D. La Libertad,P. Santiago de Chuco,PER,"Sogaranda, near Santiago de Chuco",5/12/1952,3550,24
815,CGN,18061,SOU,soukupii,NULL,NULL,NULL,NULL,NULL,NULL,PER,NULL,NULL,NULL,24
816,CGN,18096,SPL,sparsipilum,"-177,166",1743S,"-662,833",06617W,D. Cochabamba,P. Capinota,BOL,"Parotani-Capinota road, 1 km past Charamo",3/22/1974,2400,24
817,CGN,17838,SPL,sparsipilum,NULL,NULL,NULL,NULL,D. Cochabamba,NULL,BOL,"Sta Cruz, km118, near Jatun Pino",1/1/1965,NULL,24
818,CGN,18221,SPL,sparsipilum,-17.95,1757S,"-659,166",06555W,D. Cochabamba,P. E. Arce,BOL,"Hacienda mollepujro, 100 m from the house",3/7/1980,2560,24
819,CGN,20653,SPL,sparsipilum,"-175,666",1734S,"-663,833",06623W,D. Cochabamba,P. Capinota,BOL,2 km from Parotani on the road to Capinota (1 km from the new road),3/29/1980,2450,24
820,CGN,17758,SPL,sparsipilum,-16.55,1633S,-68.1,06806W,D. La Paz,P. Murillo,BOL,Sequencoma,4/2/1971,3325,24
821,CGN,20602,SPL,sparsipilum,-16.55,1633S,-68.1,06806W,D. La Paz,P. Murillo,BOL,"From La Paz to Mecapaca, Aranjuez, 1 km past inst. Biblico Nazareno,",3/13/1980,3190,24
822,CGN,960795,SPG,spegazzinii,NULL,NULL,NULL,NULL,NULL,NULL,ARG,NULL,NULL,NULL,24
823,CGN,21318,SPG,spegazzinii,NULL,NULL,NULL,NULL,P. La Rioja,D. Famatina,ARG,between Carrizal and Corrales,4/10/1960,1900,24
824,CGN,22707,SPG,spegazzinii,"-288,166",2849S,"-676,666",06740W,P. La Rioja,D. Famatina,ARG,"Sierra Famatina-at base, Los Corrales",3/25/1966,1950,24
